Image_ID,note_id,image_path,Primary_HEX,Secondary_HEX,Dominant_Color_Name,Color_Family,Primary_Color_Ratio,Secondary_Color_Ratio,Color_Extraction_Status
GRP-XHS-697b27ff000000002103cb21-01,697b27ff000000002103cb21,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_01.webp,#A8AAAA,#898886,gray,gray,0.2846,0.2738,ok
GRP-XHS-697b27ff000000002103cb21-02,697b27ff000000002103cb21,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_02.webp,#C1C4C2,#85837E,gray,gray,0.3188,0.2704,ok
GRP-XHS-697b27ff000000002103cb21-03,697b27ff000000002103cb21,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_03.webp,#222120,#C1C2C3,black,black,0.3358,0.2182,ok
GRP-XHS-697b27ff000000002103cb21-05,697b27ff000000002103cb21,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_05.webp,#8B8C89,#A5A9A8,gray,gray,0.31,0.2778,ok
GRP-XHS-697b27ff000000002103cb21-06,697b27ff000000002103cb21,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_06.webp,#C0C2C3,#544F41,gray,gray,0.2384,0.2296,ok
GRP-XHS-697b27ff000000002103cb21-07,697b27ff000000002103cb21,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_07.webp,#282622,#C3C5C6,black,black,0.257,0.2366,ok
GRP-XHS-697b27ff000000002103cb21-08,697b27ff000000002103cb21,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_08.webp,#8C8B89,#BCBDBE,gray,gray,0.254,0.248,ok
GRP-XHS-68b41359000000001c00e570-01,68b41359000000001c00e570,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_01.webp,#CACFCA,#0D0E11,gray,gray,0.3158,0.2008,ok
GRP-XHS-68b41359000000001c00e570-02,68b41359000000001c00e570,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_02.webp,#EAEEEB,#C1C6BF,white,white,0.4564,0.2954,ok
GRP-XHS-68b41359000000001c00e570-05,68b41359000000001c00e570,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_05.webp,#F2F4EF,#414141,white,white,0.432,0.1556,ok
GRP-XHS-68b41359000000001c00e570-08,68b41359000000001c00e570,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_08.webp,#F8FAFA,#CBD0CC,white,white,0.4264,0.2804,ok
GRP-XHS-68b41359000000001c00e570-09,68b41359000000001c00e570,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_09.webp,#87898B,#656769,gray,gray,0.4254,0.3342,ok
GRP-XHS-68b41359000000001c00e570-10,68b41359000000001c00e570,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_10.webp,#D0D5D0,#EDF1EE,white,white,0.331,0.3182,ok
GRP-XHS-68b41359000000001c00e570-11,68b41359000000001c00e570,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_11.webp,#E9EDE9,#3D3D40,white,white,0.3956,0.1968,ok
GRP-XHS-68b41359000000001c00e570-12,68b41359000000001c00e570,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_12.webp,#F7F8F7,#76767A,white,white,0.2964,0.191,ok
GRP-XHS-68b41359000000001c00e570-14,68b41359000000001c00e570,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_14.webp,#F7F9F5,#1C1E20,white,white,0.2942,0.2524,ok
GRP-XHS-68b41359000000001c00e570-15,68b41359000000001c00e570,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_15.webp,#F0F3EF,#3D3D3D,white,white,0.279,0.2562,ok
GRP-XHS-6974594d000000001a034f55-01,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_01.webp,#16171B,#838280,black,black,0.241,0.2114,ok
GRP-XHS-6974594d000000001a034f55-02,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_02.webp,#DEE1DF,#858785,white,white,0.2548,0.2438,ok
GRP-XHS-6974594d000000001a034f55-03,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_03.webp,#0E1013,#DBDEDD,black,black,0.2644,0.2516,ok
GRP-XHS-6974594d000000001a034f55-04,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_04.webp,#121418,#D8D7D5,black,black,0.2296,0.2292,ok
GRP-XHS-6974594d000000001a034f55-05,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_05.webp,#111317,#D9DBD9,black,black,0.277,0.243,ok
GRP-XHS-6974594d000000001a034f55-06,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_06.webp,#D6D6D1,#0E1013,white,white,0.27,0.259,ok
GRP-XHS-6974594d000000001a034f55-07,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_07.webp,#D6D9D6,#85847F,white,white,0.2678,0.2352,ok
GRP-XHS-6974594d000000001a034f55-08,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_08.webp,#111317,#83827F,black,black,0.2632,0.2102,ok
GRP-XHS-6974594d000000001a034f55-09,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_09.webp,#DBDFDF,#828282,white,white,0.267,0.2232,ok
GRP-XHS-6974594d000000001a034f55-10,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_10.webp,#D7DAD7,#B3B4B0,white,white,0.3198,0.224,ok
GRP-XHS-6974594d000000001a034f55-11,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_11.webp,#171619,#E0E0DC,black,black,0.2366,0.2274,ok
GRP-XHS-6974594d000000001a034f55-13,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_13.webp,#D2D4D3,#787671,white,white,0.2908,0.2124,ok
GRP-XHS-6974594d000000001a034f55-14,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_14.webp,#86847F,#D4D9DA,gray,gray,0.2838,0.2692,ok
GRP-XHS-6974594d000000001a034f55-15,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_15.webp,#B6B7B6,#D9DDDD,gray,gray,0.2502,0.2202,ok
GRP-XHS-6974594d000000001a034f55-16,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_16.webp,#D9DBD8,#0B0E12,white,white,0.3212,0.2728,ok
GRP-XHS-6974594d000000001a034f55-17,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_17.webp,#565656,#898B89,gray,gray,0.2522,0.2432,ok
GRP-XHS-6974594d000000001a034f55-18,6974594d000000001a034f55,Dataset/xhs/xiaohongshu_images/机能风穿搭/6974594d000000001a034f55/image_18.webp,#101214,#DCDDD9,black,black,0.2774,0.2358,ok
GRP-XHS-69214da4000000001f00aa7a-01,69214da4000000001f00aa7a,Dataset/xhs/xiaohongshu_images/机能风穿搭/69214da4000000001f00aa7a/image_01.webp,#F6F8F6,#0C0D0D,white,white,0.6286,0.131,ok
GRP-XHS-69214da4000000001f00aa7a-02,69214da4000000001f00aa7a,Dataset/xhs/xiaohongshu_images/机能风穿搭/69214da4000000001f00aa7a/image_02.webp,#F3F5F2,#0A0B0A,white,white,0.6348,0.139,ok
GRP-XHS-69a1a6c0000000001a0290d9-01,69a1a6c0000000001a0290d9,Dataset/xhs/xiaohongshu_images/机能风穿搭/69a1a6c0000000001a0290d9/image_01.webp,#CCD0D0,#232528,gray,gray,0.4366,0.2404,ok
GRP-XHS-683ec114000000002300dde0-01,683ec114000000002300dde0,Dataset/xhs/xiaohongshu_images/机能风穿搭/683ec114000000002300dde0/image_01.webp,#868685,#676564,gray,gray,0.303,0.2706,ok
GRP-XHS-683ec114000000002300dde0-02,683ec114000000002300dde0,Dataset/xhs/xiaohongshu_images/机能风穿搭/683ec114000000002300dde0/image_02.webp,#646463,#484848,gray,gray,0.2852,0.2266,ok
