Image_ID,note_id,Pockets,Zipper_Type,Drawcord,Buckle,Reflective,Hood,Fit,Scenario,Visual_Weight,Component_Source,Component_Confidence,Component_Notes
GRP-XHS-697b27ff000000002103cb21-01,697b27ff000000002103cb21,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,text_heuristic,0.4,Component fields inferred from text evidence only.
GRP-XHS-697b27ff000000002103cb21-02,697b27ff000000002103cb21,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,text_heuristic,0.4,Component fields inferred from text evidence only.
GRP-XHS-697b27ff000000002103cb21-03,697b27ff000000002103cb21,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,text_heuristic,0.4,Component fields inferred from text evidence only.
GRP-XHS-697b27ff000000002103cb21-05,697b27ff000000002103cb21,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,text_heuristic,0.4,Component fields inferred from text evidence only.
GRP-XHS-697b27ff000000002103cb21-06,697b27ff000000002103cb21,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,text_heuristic,0.4,Component fields inferred from text evidence only.
GRP-XHS-697b27ff000000002103cb21-07,697b27ff000000002103cb21,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,text_heuristic,0.4,Component fields inferred from text evidence only.
GRP-XHS-697b27ff000000002103cb21-08,697b27ff000000002103cb21,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,text_heuristic,0.4,Component fields inferred from text evidence only.
GRP-XHS-68b41359000000001c00e570-01,68b41359000000001c00e570,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-68b41359000000001c00e570-02,68b41359000000001c00e570,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-68b41359000000001c00e570-05,68b41359000000001c00e570,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-68b41359000000001c00e570-08,68b41359000000001c00e570,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-68b41359000000001c00e570-09,68b41359000000001c00e570,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-68b41359000000001c00e570-10,68b41359000000001c00e570,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-68b41359000000001c00e570-11,68b41359000000001c00e570,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-68b41359000000001c00e570-12,68b41359000000001c00e570,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-68b41359000000001c00e570-14,68b41359000000001c00e570,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-68b41359000000001c00e570-15,68b41359000000001c00e570,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-01,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-02,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-03,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-04,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-05,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-06,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-07,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-08,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-09,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-10,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-11,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-13,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-14,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-15,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-16,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-17,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-6974594d000000001a034f55-18,6974594d000000001a034f55,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
GRP-XHS-69214da4000000001f00aa7a-01,69214da4000000001f00aa7a,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,unknown,0.0,No component evidence available in current data.
