Image_ID,note_id,Source_ID,keyword,title_text,raw_text,publish_time_resolved,image_path,Primary_HEX,Secondary_HEX,Dominant_Color_Name,Color_Family,Pockets,Zipper_Type,Drawcord,Buckle,Reflective,Hood,Fit,Scenario,Visual_Weight,Text_Keywords,Text_Pain_Points,Text_Sentiment,Text_Sentiment_Score,Text_Color_Terms,Text_Material_Terms,Text_Function_Terms,Text_Scenario_Terms,Gorpcore_Relevance,Final_Confidence,Component_Source,Component_Confidence,Color_Extraction_Status
GRP-XHS-697b27ff000000002103cb21-01,697b27ff000000002103cb21,GRP-XHS-697b27ff000000002103cb21,#机能风穿搭,Oakley FW2026 机能户外风LOOK BOOK,Oakley FW2026 机能户外风LOOK BOOK,2026-01-29,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_01.webp,#A8AAAA,#898886,gray,gray,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,户外,,neutral,,,,,户外,,0.4,text_heuristic,0.4,ok
GRP-XHS-697b27ff000000002103cb21-02,697b27ff000000002103cb21,GRP-XHS-697b27ff000000002103cb21,#机能风穿搭,Oakley FW2026 机能户外风LOOK BOOK,Oakley FW2026 机能户外风LOOK BOOK,2026-01-29,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_02.webp,#C1C4C2,#85837E,gray,gray,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,户外,,neutral,,,,,户外,,0.4,text_heuristic,0.4,ok
GRP-XHS-697b27ff000000002103cb21-03,697b27ff000000002103cb21,GRP-XHS-697b27ff000000002103cb21,#机能风穿搭,Oakley FW2026 机能户外风LOOK BOOK,Oakley FW2026 机能户外风LOOK BOOK,2026-01-29,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_03.webp,#222120,#C1C2C3,black,black,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,户外,,neutral,,,,,户外,,0.4,text_heuristic,0.4,ok
GRP-XHS-697b27ff000000002103cb21-05,697b27ff000000002103cb21,GRP-XHS-697b27ff000000002103cb21,#机能风穿搭,Oakley FW2026 机能户外风LOOK BOOK,Oakley FW2026 机能户外风LOOK BOOK,2026-01-29,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_05.webp,#8B8C89,#A5A9A8,gray,gray,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,户外,,neutral,,,,,户外,,0.4,text_heuristic,0.4,ok
GRP-XHS-697b27ff000000002103cb21-06,697b27ff000000002103cb21,GRP-XHS-697b27ff000000002103cb21,#机能风穿搭,Oakley FW2026 机能户外风LOOK BOOK,Oakley FW2026 机能户外风LOOK BOOK,2026-01-29,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_06.webp,#C0C2C3,#544F41,gray,gray,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,户外,,neutral,,,,,户外,,0.4,text_heuristic,0.4,ok
GRP-XHS-697b27ff000000002103cb21-07,697b27ff000000002103cb21,GRP-XHS-697b27ff000000002103cb21,#机能风穿搭,Oakley FW2026 机能户外风LOOK BOOK,Oakley FW2026 机能户外风LOOK BOOK,2026-01-29,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_07.webp,#282622,#C3C5C6,black,black,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,户外,,neutral,,,,,户外,,0.4,text_heuristic,0.4,ok
GRP-XHS-697b27ff000000002103cb21-08,697b27ff000000002103cb21,GRP-XHS-697b27ff000000002103cb21,#机能风穿搭,Oakley FW2026 机能户外风LOOK BOOK,Oakley FW2026 机能户外风LOOK BOOK,2026-01-29,Dataset/xhs/xiaohongshu_images/机能风穿搭/697b27ff000000002103cb21/image_08.webp,#8C8B89,#BCBDBE,gray,gray,unknown,Unclear,False,False,False,False,Unclear,Outdoor,unclear,户外,,neutral,,,,,户外,,0.4,text_heuristic,0.4,ok
GRP-XHS-68b41359000000001c00e570-01,68b41359000000001c00e570,GRP-XHS-68b41359000000001c00e570,#机能风穿搭,就以机能风拽酷入秋🎱,就以机能风拽酷入秋🎱,2025-09-10,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_01.webp,#CACFCA,#0D0E11,gray,gray,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,机能风,,neutral,,,,,,,,unknown,0.0,ok
GRP-XHS-68b41359000000001c00e570-02,68b41359000000001c00e570,GRP-XHS-68b41359000000001c00e570,#机能风穿搭,就以机能风拽酷入秋🎱,就以机能风拽酷入秋🎱,2025-09-10,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_02.webp,#EAEEEB,#C1C6BF,white,white,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,机能风,,neutral,,,,,,,,unknown,0.0,ok
GRP-XHS-68b41359000000001c00e570-05,68b41359000000001c00e570,GRP-XHS-68b41359000000001c00e570,#机能风穿搭,就以机能风拽酷入秋🎱,就以机能风拽酷入秋🎱,2025-09-10,Dataset/xhs/xiaohongshu_images/机能风穿搭/68b41359000000001c00e570/image_05.webp,#F2F4EF,#414141,white,white,unknown,Unclear,False,False,False,False,Unclear,Unclear,unclear,机能风,,neutral,,,,,,,,unknown,0.0,ok
