Source_ID,Platform,Raw_Text,Cleaned_Text,Timestamp,Data_Type
GRP-XHS-697b27ff000000002103cb21,xiaohongshu,Oakley FW2026 机能户外风LOOK BOOK,Oakley FW2026 机能户外风LOOK BOOK,2026-01-29,note
GRP-XHS-68b41359000000001c00e570,xiaohongshu,就以机能风拽酷入秋🎱,就以机能风拽酷入秋,2025-09-10,note
GRP-XHS-6974594d000000001a034f55,xiaohongshu,早秋｜中性风穿搭合集,早秋｜中性风穿搭合集,2026-01-24,note
GRP-XHS-69214da4000000001f00aa7a,xiaohongshu,服装设计效果图分享,服装设计效果图分享,2025-11-22,note
GRP-XHS-69a1a6c0000000001a0290d9,xiaohongshu,Techwear 天花板 | 这才是男生该有的未来感,Techwear 天花板 | 这才是男生该有的未来感,2026-02-27,note
GRP-XHS-683ec114000000002300dde0,xiaohongshu,夏日黑灰机能风｜OOTD,夏日黑灰机能风｜OOTD,2025-06-03,note
GRP-XHS-69c7b3450000000020039ccc,xiaohongshu,“嘘，你听…”,“嘘，你听…”,2026-03-28,note
GRP-XHS-68da4ee6000000001101da8b,xiaohongshu,就穿复古未来感这样循环xg的新歌GALA｜OOTD,就穿复古未来感这样循环xg的新歌GALA｜OOTD,2025-10-09,note
GRP-XHS-69d10431000000001b0025ee,xiaohongshu,解构主义机能风：重新定义户外服装,解构主义机能风：重新定义户外服装,2026-04-04,note
GRP-XHS-6964a74c000000002202c56c,xiaohongshu,户外机能小帅｜藏着一身细节🤐,户外机能小帅｜藏着一身细节,2026-01-13,note
GRP-XHS-68e8a98f000000000700d9b4,xiaohongshu,户外人的山系风穿搭｜OOTD,户外人的山系风穿搭｜OOTD,2025-10-10,note
GRP-XHS-69b4ec21000000002200ed5b,xiaohongshu,机能风还能再战500年,机能风还能再战500年,2026-03-14,note
GRP-XHS-69734679000000002202d5e2,xiaohongshu,【绘画参考】〔机能风〕①服设,【绘画参考】〔机能风〕①服设,2026-02-05,note
GRP-XHS-69cdbae90000000021013a1d,xiaohongshu,hamcus SS26 机能户外穿搭型录,hamcus SS26 机能户外穿搭型录,2026-04-02,note
GRP-XHS-6a0423830000000036033a57,xiaohongshu,8套夏日街头美式防晒衣分享！,8套夏日街头美式防晒衣分享！,2026-05-13,note
GRP-XHS-69169e58000000000703ab3b,xiaohongshu,"None
你在多大程度上会推荐他人使用网页版小红书？",None 你在多大程度上会推荐他人使用网页版小红书？,2025-11-14,note
GRP-XHS-694be601000000001f00792e,xiaohongshu,我永远喜欢机能风,我永远喜欢机能风,2025-12-24,note
GRP-XHS-688223c8000000001203365b,xiaohongshu,服了 机能风怎么这么帅啊‼️,服了 机能风怎么这么帅啊‼️,2025-07-24,note
GRP-XHS-684be38f000000002202869a,xiaohongshu,今日OOTD｜经典黑灰配色一键get✅,今日OOTD｜经典黑灰配色一键get,2025-06-13,note
GRP-XHS-68e99da2000000000700a15f,xiaohongshu,街头潮流与功能性兼备的战甲～,街头潮流与功能性兼备的战甲～,2025-10-11,note
GRP-XHS-69ee2200000000001a035186,xiaohongshu,城市户外机能风呀,城市户外机能风呀,2026-04-26,note
GRP-XHS-69f1a2c3000000002003bd4e,xiaohongshu,男生Y2K穿搭，赶紧收藏,男生Y2K穿搭，赶紧收藏,2026-04-30,note
GRP-XHS-6840e849000000000f031564,xiaohongshu,hamcus机能怀旧户外风穿搭,hamcus机能怀旧户外风穿搭,2025-06-05,note
GRP-XHS-6a02f9f4000000003501da73,xiaohongshu,爽吃八件,爽吃八件,2026-05-12,note
GRP-XHS-6a0c6070000000000803cef0,xiaohongshu,all black⚫️夏日暗黑机能风穿搭🥷,all black ️夏日暗黑机能风穿搭,2026-05-20,note
GRP-XHS-698c2408000000000b010188,xiaohongshu,男团穿搭的统一美学,男团穿搭的统一美学,2026-02-11,note
GRP-XHS-68a303ed000000001d02c3c5,xiaohongshu,论粥批怎么穿能在地铁上被同类一眼认出？,论粥批怎么穿能在地铁上被同类一眼认出？,2025-08-18,note
GRP-XHS-68f236ae00000000050023e3,xiaohongshu,当你下班后想起  Y2K女神说喜欢户外机能风·,当你下班后想起 Y2K女神说喜欢户外机能风·,2025-10-17,note
GRP-XHS-6a030f4b0000000007029560,xiaohongshu,OOTD｜黑系轻机能风夏季穿搭分享,OOTD｜黑系轻机能风夏季穿搭分享,2026-05-12,note
GRP-XHS-69abcb250000000015030d20,xiaohongshu,12种顶男穿搭风格 | 男生干货必看‼️,12种顶男穿搭风格 | 男生干货必看‼️,2026-03-12,note
GRP-XHS-684788cd0000000023016507,xiaohongshu,有没有人会喜欢这种工装风格？,有没有人会喜欢这种工装风格？,2025-06-10,note
GRP-XHS-686ba63900000000170307da,xiaohongshu,一不小心就帅成街头潮男！🔥,一不小心就帅成街头潮男！,2025-07-07,note
GRP-XHS-685bc77e00000000170363c7,xiaohongshu,hamcus机能风套装穿搭LOOK,hamcus机能风套装穿搭LOOK,2025-06-25,note
GRP-XHS-68bc2cca000000001d019e1a,xiaohongshu,入秋最拿得出手的几套顶男fitcheck😈,入秋最拿得出手的几套顶男fitcheck,2025-09-06,note
GRP-XHS-68fb6cfb000000000702108e,xiaohongshu,暗黑机能风/Frustration Garden,暗黑机能风/Frustration Garden,2025-10-24,note
GRP-XHS-697744de000000002103eb17,xiaohongshu,不卡建模的男生穿搭合集✨,不卡建模的男生穿搭合集,2026-01-26,note
GRP-XHS-6863e5b5000000001202f410,xiaohongshu,户外帅一下,户外帅一下,2025-07-01,note
GRP-XHS-69fd4d5b000000002300483c,xiaohongshu,所有人来感受舟服设的功能性,所有人来感受舟服设的功能性,2026-05-08,note
GRP-XHS-68fdcb200000000004004f3d,xiaohongshu,OOTD｜机能乞丐,OOTD｜机能乞丐,2025-10-26,note
GRP-XHS-69fe30280000000036019935,xiaohongshu,"None
你在多大程度上会推荐他人使用网页版小红书？",None 你在多大程度上会推荐他人使用网页版小红书？,2026-05-09,note
GRP-XHS-685413a90000000012016c9b,xiaohongshu,实穿又耐看！一篇看懂工装全解析与穿搭灵感,实穿又耐看！一篇看懂工装全解析与穿搭灵感,2025-06-19,note
GRP-XHS-68ccce0f0000000013007a4b,xiaohongshu,「每日审美提升」原宿魔女的y2k幻想,「每日审美提升」原宿魔女的y2k幻想,2025-09-19,note
GRP-XHS-69f84380000000003501ef4f,xiaohongshu,舟味穿搭仅需一个13.5的战术腰包☝🏻,舟味穿搭仅需一个13.5的战术腰包,2026-05-04,note
GRP-XHS-684bd329000000002100aac3,xiaohongshu,周末轻户外穿搭｜舒适与潮流兼具✨,周末轻户外穿搭｜舒适与潮流兼具,2025-06-13,note
GRP-XHS-693ff373000000001e011f3e,xiaohongshu,3*outfits冲锋衣穿搭公式-☆,3*outfits冲锋衣穿搭公式-,2025-12-15,note
GRP-XHS-69130db200000000030388ad,xiaohongshu,头晕晕的感觉缺点你的亲亲(ᐡ ɞ̴̶̷ . ɞ̴̶̷ ᐡ,头晕晕的感觉缺点你的亲亲(ᐡ ɞ̴̶̷ . ɞ̴̶̷ ᐡ,2025-11-11,note
GRP-XHS-6a06f64b0000000008001633,xiaohongshu,角色设定留存,角色设定留存,2026-05-15,note
GRP-XHS-6a0dc98300000000070133ba,xiaohongshu,暗黑高街｜男生穿搭的五种终极帅法⚫️,暗黑高街｜男生穿搭的五种终极帅法 ️,2026-05-21,note
