Image_ID,note_id,image_path,keyword,Source_ID,Source_Text,Curation_Status,Image_Category,Primary_Color,Secondary_Color,Material_Clue,Scenario,Visual_Weight,Pockets,Zipper_Type,Fit,Reflective,Text_Keywords,Text_Pain_Points,Text_Sentiment,Text_Sentiment_Score,Text_Color_Terms,Text_Material_Terms,Text_Function_Terms,Text_Scenario_Terms,Semantic_Consistency_Score,Conflict_Type,Conflict_Reason,Useful_Design_Signal,Gorpcore_Relevance,Visual_Confidence,Final_Confidence,Review_Needed,Review_Reason,Reviewer,Manual_Decision,Manual_Category,Manual_Notes,Corrected_Color,Corrected_Material,Corrected_Scenario,Corrected_Pain_Point,Reviewed_At
GRP-XHS-683052b7000000001200122c-01,683052b7000000001200122c,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\683052b7000000001200122c\image_01.webp,#Gorpcore,GRP-XHS-683052b7000000001200122c,一件冲锋衣卖断货，Gorpcore血洗时尚圈真相,reject,text_overlay_outfit,yellow,red,nylon | technical fabric,Outdoor,unclear,0,Unclear,Unclear,False,冲锋衣,,neutral,0.0,,,,,0.65,visual_rejected_or_non_outfit,Node B status/category is reject/text_overlay_outfit.,none,0.8,0.9,0.585,True,visual_rejected_or_non_outfit | high_text_overlay | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,reject,text_overlay_outfit,Rejected in review: Node B rejected the image (); keep it out of the curated dataset.,,,,,2026-06-11
GRP-XHS-683052b7000000001200122c-02,683052b7000000001200122c,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\683052b7000000001200122c\image_02.webp,#Gorpcore,GRP-XHS-683052b7000000001200122c,一件冲锋衣卖断货，Gorpcore血洗时尚圈真相,reject,text_screenshot,none,none,unclear,Unclear,unclear,0,None,Unclear,False,冲锋衣,,neutral,0.0,,,,,0.65,visual_rejected_or_non_outfit,Node B status/category is reject/text_screenshot.,none,0.0,1.0,0.65,True,visual_rejected_or_non_outfit | high_text_overlay | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,reject,text_screenshot,"Rejected in review: Node B image curation category is text_screenshot, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-683052b7000000001200122c-03,683052b7000000001200122c,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\683052b7000000001200122c\image_03.webp,#Gorpcore,GRP-XHS-683052b7000000001200122c,一件冲锋衣卖断货，Gorpcore血洗时尚圈真相,reject,text_screenshot,none,none,unclear,Unclear,unclear,0,None,Unclear,False,冲锋衣,,neutral,0.0,,,,,0.65,visual_rejected_or_non_outfit,Node B status/category is reject/text_screenshot.,none,0.0,1.0,0.65,True,visual_rejected_or_non_outfit | high_text_overlay | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,reject,text_screenshot,"Rejected in review: Node B image curation category is text_screenshot, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-683052b7000000001200122c-04,683052b7000000001200122c,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\683052b7000000001200122c\image_04.webp,#Gorpcore,GRP-XHS-683052b7000000001200122c,一件冲锋衣卖断货，Gorpcore血洗时尚圈真相,reject,text_screenshot,none,none,unclear,Unclear,unclear,0,None,Unclear,False,冲锋衣,,neutral,0.0,,,,,0.65,visual_rejected_or_non_outfit,Node B status/category is reject/text_screenshot.,none,0.0,1.0,0.65,True,visual_rejected_or_non_outfit | high_text_overlay | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,reject,text_screenshot,"Rejected in review: Node B image curation category is text_screenshot, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-683052b7000000001200122c-05,683052b7000000001200122c,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\683052b7000000001200122c\image_05.webp,#Gorpcore,GRP-XHS-683052b7000000001200122c,一件冲锋衣卖断货，Gorpcore血洗时尚圈真相,reject,text_screenshot,none,none,unclear,Unclear,unclear,0,None,Unclear,False,冲锋衣,,neutral,0.0,,,,,0.65,visual_rejected_or_non_outfit,Node B status/category is reject/text_screenshot.,none,0.0,1.0,0.65,True,visual_rejected_or_non_outfit | high_text_overlay | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,reject,text_screenshot,"Rejected in review: Node B image curation category is text_screenshot, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-683052b7000000001200122c-06,683052b7000000001200122c,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\683052b7000000001200122c\image_06.webp,#Gorpcore,GRP-XHS-683052b7000000001200122c,一件冲锋衣卖断货，Gorpcore血洗时尚圈真相,reject,text_screenshot,none,none,unclear,Unclear,unclear,0,None,Unclear,False,冲锋衣,,neutral,0.0,,,,,0.65,visual_rejected_or_non_outfit,Node B status/category is reject/text_screenshot.,none,0.0,1.0,0.65,True,visual_rejected_or_non_outfit | high_text_overlay | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,reject,text_screenshot,"Rejected in review: Node B image curation category is text_screenshot, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-683437710000000021008566-05,683437710000000021008566,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\683437710000000021008566\image_05.webp,#Gorpcore,GRP-XHS-683437710000000021008566,你的“骆驼 ”已上线…,use,full_body_outfit,black,gray,cotton | denim-like | casual fabric,Urban_Commute,lightweight,2,None,Loose,False,,,neutral,0.0,,,,,0.88,none,none,none,0.3,0.8,0.704,True,low_gorpcore_relevance,Codex assisted human review,revise,full_body_outfit,Accepted with revision: low model relevance was overridden because visible materials/details support Gorpcore or technical styling.,black,cotton | denim-like | casual fabric,Urban_Commute,none,2026-06-11
GRP-XHS-683437710000000021008566-06,683437710000000021008566,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\683437710000000021008566\image_06.webp,#Gorpcore,GRP-XHS-683437710000000021008566,你的“骆驼 ”已上线…,reject,detail_closeup,green,black,rubber sole | fabric strap,Unclear,lightweight,0,None,Unclear,False,,,neutral,0.0,,,,,0.75,visual_rejected_or_non_outfit,Node B status/category is reject/detail_closeup.,none,0.0,0.95,0.7125,True,visual_rejected_or_non_outfit,Codex assisted human review,reject,detail_closeup,Rejected in review: Node B rejected the image (); keep it out of the curated dataset.,,,,,2026-06-11
GRP-XHS-6846aa67000000002102c7cc-03,6846aa67000000002102c7cc,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6846aa67000000002102c7cc\image_03.webp,#机能风穿搭,GRP-XHS-6846aa67000000002102c7cc,长得不帅 但穿得还行,use,full_body_outfit,black,blue,denim | cotton | nylon,Urban_Commute,medium,4,Exposed,Oversized,False,,,neutral,0.0,,,,,0.88,none,none,none,0.3,0.9,0.792,True,low_gorpcore_relevance,Codex assisted human review,revise,full_body_outfit,Accepted with revision: low model relevance was overridden because visible materials/details support Gorpcore or technical styling.,black,denim | cotton | nylon,Urban_Commute,none,2026-06-11
GRP-XHS-684bd329000000002100aac3-03,684bd329000000002100aac3,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\684bd329000000002100aac3\image_03.webp,#机能风穿搭,GRP-XHS-684bd329000000002100aac3,周末轻户外穿搭｜舒适与潮流兼具,use,full_body_outfit,white,black,cotton | matte | lightweight,Urban_Commute,lightweight,0,None,Loose,False,穿搭 | 户外,,positive,1.0,,,,户外,0.78,outdoor_text_vs_low_relevance_urban_visual,"Text indicates outdoor use, but visual label is urban/low-relevance.",none,0.3,0.9,0.702,True,low_gorpcore_relevance,Codex assisted human review,revise,full_body_outfit,Accepted with revision: low model relevance was overridden because visible materials/details support Gorpcore or technical styling.,white,cotton | matte | lightweight,Urban_Commute,none,2026-06-11
