Image_ID,note_id,image_path,passed,image_type,reject_reason,confidence,width,height,aspect_ratio,duplicate_of
GRP-XHS-697b27ff000000002103cb21-01,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_01.webp,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-697b27ff000000002103cb21-02,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_02.webp,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-697b27ff000000002103cb21-03,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_03.webp,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-697b27ff000000002103cb21-04,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_04.webp,False,duplicate,near_duplicate_image,0.0,640,853,0.7503,GRP-XHS-697b27ff000000002103cb21-03
GRP-XHS-697b27ff000000002103cb21-05,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_05.webp,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-697b27ff000000002103cb21-06,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_06.webp,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-697b27ff000000002103cb21-07,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_07.webp,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-697b27ff000000002103cb21-08,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_08.webp,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-68b41359000000001c00e570-01,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_01.webp,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-68b41359000000001c00e570-02,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_02.webp,True,candidate_outfit,,1.0,640,854,0.7494,
GRP-XHS-68b41359000000001c00e570-03,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_03.webp,False,duplicate,near_duplicate_image,0.0,640,853,0.7503,GRP-XHS-68b41359000000001c00e570-02
GRP-XHS-68b41359000000001c00e570-04,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_04.webp,False,duplicate,near_duplicate_image,0.0,640,853,0.7503,GRP-XHS-68b41359000000001c00e570-02
GRP-XHS-68b41359000000001c00e570-05,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_05.webp,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-68b41359000000001c00e570-06,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_06.webp,False,duplicate,near_duplicate_image,0.0,640,853,0.7503,GRP-XHS-68b41359000000001c00e570-02
GRP-XHS-68b41359000000001c00e570-07,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_07.webp,False,duplicate,near_duplicate_image,0.0,640,853,0.7503,GRP-XHS-68b41359000000001c00e570-02
GRP-XHS-68b41359000000001c00e570-08,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_08.webp,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-68b41359000000001c00e570-09,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_09.webp,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-68b41359000000001c00e570-10,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_10.webp,True,candidate_outfit,,1.0,640,854,0.7494,
GRP-XHS-68b41359000000001c00e570-11,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_11.webp,True,candidate_outfit,,1.0,640,853,0.7503,
