Image_ID,note_id,image_path,run_status,Curation_Status,Image_Category,Reject_Reason,Body_Coverage,Text_Overlay_Level,Outfit_Count,Main_Subject_Visibility,Gorpcore_Relevance,Confidence
GRP-XHS-697b27ff000000002103cb21-01,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_01.webp,skipped_existing,use,multi_panel_outfit,none,full_body,none,9,clear,0.95,0.98
GRP-XHS-697b27ff000000002103cb21-02,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_02.webp,skipped_existing,use,full_body_outfit,none,full_body,none,2,clear,0.95,0.98
GRP-XHS-697b27ff000000002103cb21-03,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_03.webp,skipped_existing,use,full_body_outfit,none,full_body,none,2,clear,0.95,0.98
GRP-XHS-697b27ff000000002103cb21-05,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_05.webp,skipped_existing,use,full_body_outfit,none,full_body,none,2,clear,0.95,0.98
GRP-XHS-697b27ff000000002103cb21-06,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_06.webp,skipped_existing,use,full_body_outfit,none,full_body,none,2,clear,0.95,0.98
GRP-XHS-697b27ff000000002103cb21-07,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_07.webp,skipped_existing,use,full_body_outfit,none,full_body,none,2,clear,0.95,0.98
GRP-XHS-697b27ff000000002103cb21-08,697b27ff000000002103cb21,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\697b27ff000000002103cb21\image_08.webp,annotated,use,full_body_outfit,none,full_body,none,2,clear,0.95,0.98
GRP-XHS-68b41359000000001c00e570-01,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_01.webp,annotated,use,multi_panel_outfit,none,full_body,none,4,clear,0.95,0.98
GRP-XHS-68b41359000000001c00e570-02,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_02.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-68b41359000000001c00e570-05,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_05.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.95,0.98
