Image_ID,note_id,image_path,passed,image_type,reject_reason,confidence,width,height,aspect_ratio,duplicate_of
GRP-XHS-686b887200000000120334f2-01,686b887200000000120334f2,E:\code\Project\Dataset\xiaohongshu_images\xiaohongshu_images\机能风穿搭\686b887200000000120334f2\image_01.jpg,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-6820362200000000220241ba-01,6820362200000000220241ba,E:\code\Project\Dataset\xiaohongshu_images\xiaohongshu_images\机能风穿搭\6820362200000000220241ba\image_01.jpg,True,candidate_outfit,,1.0,640,1050,0.6095,
GRP-XHS-6820362200000000220241ba-02,6820362200000000220241ba,E:\code\Project\Dataset\xiaohongshu_images\xiaohongshu_images\机能风穿搭\6820362200000000220241ba\image_02.jpg,True,candidate_outfit,,1.0,640,1035,0.6184,
GRP-XHS-6820362200000000220241ba-03,6820362200000000220241ba,E:\code\Project\Dataset\xiaohongshu_images\xiaohongshu_images\机能风穿搭\6820362200000000220241ba\image_03.jpg,True,candidate_outfit,,1.0,640,1035,0.6184,
GRP-XHS-6820362200000000220241ba-04,6820362200000000220241ba,E:\code\Project\Dataset\xiaohongshu_images\xiaohongshu_images\机能风穿搭\6820362200000000220241ba\image_04.jpg,True,candidate_outfit,,1.0,640,481,1.3306,
GRP-XHS-694be601000000001f00792e-01,694be601000000001f00792e,E:\code\Project\Dataset\xiaohongshu_images\xiaohongshu_images\机能风穿搭\694be601000000001f00792e\image_01.jpg,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-694be601000000001f00792e-02,694be601000000001f00792e,E:\code\Project\Dataset\xiaohongshu_images\xiaohongshu_images\机能风穿搭\694be601000000001f00792e\image_02.jpg,True,candidate_outfit,,1.0,640,1244,0.5145,
GRP-XHS-694be601000000001f00792e-03,694be601000000001f00792e,E:\code\Project\Dataset\xiaohongshu_images\xiaohongshu_images\机能风穿搭\694be601000000001f00792e\image_03.jpg,True,candidate_outfit,,1.0,640,853,0.7503,
GRP-XHS-6912a29c0000000007039856-01,6912a29c0000000007039856,E:\code\Project\Dataset\xiaohongshu_images\xiaohongshu_images\机能风穿搭\6912a29c0000000007039856\image_01.jpg,True,candidate_outfit,,1.0,640,1067,0.5998,
GRP-XHS-6912a29c0000000007039856-02,6912a29c0000000007039856,E:\code\Project\Dataset\xiaohongshu_images\xiaohongshu_images\机能风穿搭\6912a29c0000000007039856\image_02.jpg,True,candidate_outfit,,1.0,640,1067,0.5998,
